SMILES,True_Label,Predicted_Score,Predicted_Binary,Correct
Cc1c(C)c2c(c(C)c1O)CCC(C)(CCCC(C)CCCC(C)CCCC(C)C)O2,0,-24694.009780181936,0,1
CN1[C@H]2CC[C@@H]1CC(OC(=O)C(CO)c1ccccc1)C2,0,-16899.839768629095,0,1
O=C(N[C@H](CO)[C@H](O)c1ccc([N+](=O)[O-])cc1)C(Cl)Cl,0,-19933.612274732073,0,1
CCCCC(CC)COC(=O)c1ccccc1C(=O)OCC(CC)CCCC,1,-22914.663236234243,0,0
O=C(NCC1CCCCN1)c1cc(OCC(F)(F)F)ccc1OCC(F)(F)F,0,-25493.567734217588,0,1
C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3CC[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,0,-21863.700337657923,0,1
CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1,0,-18085.022057643335,0,1
C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@@H]2C3=O)O1,0,-23814.261181444694,0,1
O=c1[nH]c(=O)n(C2CCCO2)cc1F,0,-11818.141162195687,0,1
O=c1cc[nH]c(=O)[nH]1,1,-6274.425721603643,0,0
CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,0,-13014.491641424167,0,1
CNC(=O)Oc1cccc2ccccc12,1,-11779.029033861352,0,0
CC(CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1,1,-16011.507215768605,0,0
c1ccoc1,1,-3313.0632202810853,0,0
CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1,0,-16068.473253629109,0,1
CC(C)(C)NCC(O)c1cc(O)cc(O)c1,1,-12851.04904337883,0,0
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,0,-15796.229065003201,0,1
NC(Cc1c[nH]c2ccccc12)C(=O)O,0,-11914.947785775446,0,1
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,0,-15359.838400797447,0,1
N#[N+]/C=C(\[O-])OC[C@H](N)C(=O)O,1,-10062.035984077993,0,0
C=C(C)[C@H]1CC=C(C)CC1,1,-7165.144195852942,0,0
CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1,0,-18555.70161317313,0,1
CC(C(=O)O)c1cccc(C(=O)c2ccccc2)c1,0,-15230.617658120485,0,1
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)(Cl)Cl)cc1,1,-22291.53051032491,0,0
NCC1(CC(=O)O)CCCCC1,1,-9455.438793900032,0,0
c1ccc2c(c1)cc1ccc3cccc4ccc2c1c34,1,-15235.41966707815,0,0
CC(=O)N(O)c1ccc2c(c1)Cc1ccccc1-2,1,-14281.147196425101,0,0
COP(=S)(OC)Oc1ccc(SC)c(C)c1,0,-16721.105151830026,0,1
Cc1cccc(N=Nc2ccc(N(C)C)cc2)c1,1,-14048.129097258163,0,0
Cc1cc(=O)[nH]c(=S)[nH]1,1,-8188.465935375603,0,0
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,0,-17655.215441550077,0,1
O=[N+]([O-])c1cc[n+]([O-])c2ccccc12,1,-11349.381069529843,0,0
CCOP(=S)(OCC)Oc1ccc2c(C)c(Cl)c(=O)oc2c1,0,-22209.183542382674,0,1
C=CCN=C=S,1,-5354.500798735845,0,0
CC1CN1P(=O)(N1CC1C)N1CC1C,1,-12387.629481847851,0,0
Cc1c2ccccc2c(C)c2c1ccc1ccccc12,1,-15258.17390496363,0,0
O=NN1CCOCC1,1,-6309.388882915109,0,0
CNC(=O)CSP(=S)(OC)OC,0,-13658.217812914625,0,1
O=C(O)c1ccc([N+](=O)[O-])cc1,1,-9920.959932641195,0,0
CCOS(C)(=O)=O,1,-6853.886756927311,0,0
COP(=O)(OC)OC=C(Cl)Cl,1,-13296.424760175916,0,0
CCOS(=O)(=O)OCC,1,-8736.470348502191,0,0
O=C1CC(=O)NC(=O)N1,0,-7273.814507686999,0,1
CCN(CC)CCOc1ccc(C(O)(Cc2ccc(OC)cc2)c2ccccc2)cc1,0,-24921.26837349109,0,1
CN(C)C=O,0,-3455.5344575452186,0,1
O=C1C=C(N2CC2)C(=O)C(N2CC2)=C1N1CC1,1,-13608.039165565478,0,0
Clc1ccc(C(c2ccc(Cl)cc2)C(Cl)Cl)cc1,0,-19863.220052217253,0,1
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0,-19854.916531841878,0,1
CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,0,-18385.899537466783,0,1
c1ccc(Nc2ccc(Nc3ccccc3)cc2)cc1,0,-15525.249621407558,0,1
CC1CO1,1,-2528.222172362837,0,0
CC(C)(C)O,1,-3341.250163740472,0,0
ClC1=C(Cl)C(Cl)(Cl)C(Cl)=C1Cl,0,-17356.365799385578,0,1
CCC(Br)(CC)C(=O)NC(N)=O,0,-14077.11879628667,0,1
O=S1(=O)CC=CC1,0,-6580.814674248906,0,1
CCOC(=O)C1OC1(C)c1ccccc1,0,-11934.951314946697,0,1
O=[N+]([O-])OCC(CO[N+](=O)[O-])(CO[N+](=O)[O-])CO[N+](=O)[O-],0,-19494.99601679815,0,1
CCOP(=S)(OCC)SC1OCCOC1SP(=S)(OCC)OCC,0,-27974.248915424727,0,1
CCCCC(CC)COP(=O)(OCC(CC)CCCC)OCC(CC)CCCC,0,-25082.252986495274,0,1
CC1=CC(=O)CC(C)(C)C1,1,-7425.162702063949,0,0
CC(C)C=O,0,-3311.682558910812,0,1
C=CC(N)=O,1,-3445.2908048862264,0,0
C=CC(=O)O,0,-3577.6650306443908,0,1
CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,0,-13236.639860379584,0,1
O=S(=O)(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0,-17808.87302459978,0,1
C1C2OC2C2C1C1CC2C2OC12,0,-9307.721155155454,0,1
O=[N+]([O-])c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0,-18743.68384005656,0,1
O=C1c2ccccc2C(=O)c2ccccc21,1,-12511.745436500716,0,0
CCOC(=O)c1ccccc1C(=O)OCC,0,-13064.569734839812,0,1
O=C1OC(=O)c2ccccc21,0,-8705.150032748303,0,1
COP(=S)(OC)SCn1nnc2ccccc2c1=O,0,-19468.489999927133,0,1
Cc1cccc(C)c1N,0,-6461.487321362573,0,1
Cc1cc(C)c(N)c(C)c1,1,-7282.4437110803265,0,0
Oc1c(Cl)cc(Cl)cc1Cl,1,-12099.191640864477,0,0
Cc1ccccc1S(N)(=O)=O,1,-9961.372558515483,0,0
Cc1ccccc1[N+](=O)[O-],1,-7788.37356526503,0,0
O=[N+]([O-])c1ccccc1Cl,0,-9293.815663418112,0,1
NC(=O)c1ccccc1C(N)=O,0,-9523.442301861227,0,1
COc1ccccc1N,1,-6657.655197065999,0,0
Nc1ccccc1-c1ccccc1,0,-9699.744630735488,0,1
CCC(C(=O)NC(N)=O)c1ccccc1,0,-11984.04733161181,0,1
CN(C)c1ccc(C(=O)c2ccc(N(C)C)cc2)cc1,1,-15812.648405078082,0,0
COc1ccccc1[N+](=O)[O-],1,-8853.44362207866,0,0
CCOc1ccc2c(c1)C(C)=CC(C)(C)N2,0,-12374.61109925718,0,1
Nc1ccc2ccccc2c1,1,-8070.302214953069,0,0
Cc1ccc2ncccc2c1,0,-8070.10892794756,0,1
Nc1nc(N)nc(-c2ccccc2)n1,0,-11009.96908785673,0,1
COc1cc(-c2ccc(N=C=O)c(OC)c2)ccc1N=C=O,1,-17939.811005007763,0,0
Nc1ccc(-c2ccccc2)cc1,1,-9699.369229383748,0,0
C=CCc1ccc(OC)c(OC)c1,1,-10119.348374376115,0,0
O=C(O)COc1cc(Cl)c(Cl)cc1Cl,0,-15803.62313091335,0,1
CCCc1ccc2c(c1)OCO2,1,-9286.656781985763,0,0
C=CCc1ccc2c(c1)OCO2,1,-9274.474114309081,0,0
C=C(Cl)CSC(=S)N(CC)CC,1,-13141.818618353514,0,0
c1ccc2n[nH]nc2c1,0,-6598.1077162793235,0,1
Cc1ccccc1N,1,-5640.377307579748,0,0
Nc1ccccc1N,1,-5770.196904794008,0,0
Cc1ccc(C)c(C)c1,1,-6332.821859851726,0,0
Cc1cc(Cl)ccc1N,0,-8026.543936257997,0,1
Cc1cc(N)ccc1N,0,-6590.781803590769,0,1
Cc1cc(O)ccc1O,0,-6749.527415675652,0,1
Cc1ccc(Cl)cc1N,0,-8026.183617996284,0,1
Cc1ccc(N)cc1N,1,-6590.951628011794,0,0
c1ccc(C2CO2)cc1,1,-6518.49804986019,0,0
ClCC(Br)CBr,1,-14595.011775393243,0,0
OCC(Br)CBr,1,-13290.4429183985,0,0
ClCC(Cl)CCl,1,-8606.836776064909,0,0
OCC(O)CCl,0,-5995.748874398454,0,1
S=C1NCCN1,1,-5491.916128360222,0,0
O=C1CCCO1,0,-4394.4788776183605,0,1
Cc1cc(O)c(C(C)(C)C)cc1Sc1cc(C(C)(C)C)c(O)cc1C,0,-21140.675099676257,0,1
O=[N+]([O-])c1ccc(Cl)c([N+](=O)[O-])c1,0,-12387.173637349311,0,1
Cc1cc(N=Nc2ccccc2C)ccc1N,1,-13229.022341283875,0,0
O=Cc1ccco1,1,-5207.588708725207,0,0
CC(O)c1ccccc1,1,-6591.506909177909,0,0
O=[N+]([O-])c1ccccc1,1,-6968.147308831091,0,0
O=[N+]([O-])c1cc([N+](=O)[O-])cc([N+](=O)[O-])c1,0,-13153.15775025471,0,1
Nc1ccc([N+](=O)[O-])cc1N,0,-8865.211784096127,0,1
Nc1cc([N+](=O)[O-])ccc1O,1,-8927.126751383803,0,0
COc1ccc([N+](=O)[O-])cc1N,1,-9747.306641281737,0,0
CN(N=O)c1ccc(N=O)cc1,1,-9611.942053267829,0,0
Cc1ccc([N+](=O)[O-])cc1,1,-7788.473001932604,0,0
O=[N+]([O-])c1ccc(Cl)cc1,0,-9349.43092677191,0,1
Nc1ccc([N+](=O)[O-])cc1,0,-7916.16644208627,0,1
CCc1ccccc1,1,-5511.795641013486,0,0
O=Cc1ccccc1,0,-5696.281942808847,0,1
O=NN1CCCCC1,1,-6051.72333874804,0,0
Clc1nc(Cl)nc(Nc2ccccc2Cl)n1,0,-17196.280585453267,0,1
CC(C)OC(=O)Nc1cccc(Cl)c1,0,-12620.466583934487,0,1
O=NN1CN2CN(C1)CN(N=O)C2,0,-10912.950183750689,0,1
Nc1ccc(Nc2ccccc2)cc1,0,-10648.177152383949,0,1
CN(C)c1ccc(Cc2ccc(N(C)C)cc2)cc1,1,-14750.802219099107,0,0
Nc1ccc(Oc2ccc(N)cc2)cc1,1,-11601.355819693686,0,0
c1cc(OCC2CO2)cc(OCC2CO2)c1,1,-12820.69292812063,0,0
CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,0,-21317.332719115555,0,1
c1ccc(N=Nc2ccccc2)cc1,1,-10639.213327845247,0,0
NC(=S)Nc1ccccc1,0,-8740.98354421752,0,1
CCCCC(CC)CO,0,-6631.733510275219,0,1
COc1ccc(N)cc1,0,-6657.228960114546,0,1
